DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx
06/29/1979,0.046852,0.043821,0.054663,0.051678,0.038656,102.91
07/31/1979,0.014991,0.012773,0.021366,0.019642,0.008746,103.81
08/31/1979,0.064732,0.057305,0.075616,0.072221,0.053078,109.32
09/28/1979,0.001426,-0.000932,-0.001172,-0.003396,0.000000,109.32
10/31/1979,-0.072662,-0.075470,-0.097915,-0.100035,-0.068606,101.82
11/30/1979,0.063604,0.055810,0.065295,0.061798,0.042624,106.16
12/31/1979,0.028215,0.025174,0.067485,0.064228,0.016767,107.94
01/31/1980,0.065607,0.063303,0.105129,0.103280,0.057625,114.16
02/29/1980,0.001015,-0.005740,-0.006301,-0.009303,-0.004380,113.66
03/31/1980,-0.120224,-0.123258,-0.165043,-0.168151,-0.101795,102.09
04/30/1980,0.052287,0.049833,0.053461,0.051233,0.041140,106.29
05/30/1980,0.060090,0.052629,0.071249,0.067717,0.046571,111.24
06/30/1980,0.037714,0.034438,0.046176,0.042784,0.026969,114.24
07/31/1980,0.069438,0.067066,0.089279,0.087506,0.065039,121.67
08/29/1980,0.023554,0.017236,0.063984,0.060861,0.005835,122.38
09/30/1980,0.029498,0.026617,0.052459,0.049853,0.025168,125.46
10/31/1980,0.020095,0.017370,0.047525,0.045512,0.016021,127.47
11/28/1980,0.104952,0.099010,0.069264,0.066582,0.102377,140.52
12/31/1980,-0.034411,-0.037041,-0.032416,-0.035395,-0.033874,135.76
01/30/1981,-0.040085,-0.041823,0.005615,0.003986,-0.045742,129.55
02/27/1981,0.015519,0.009121,0.002150,-0.000669,0.013277,131.27
03/31/1981,0.046183,0.043095,0.072674,0.069822,0.036033,136.00
04/30/1981,-0.011266,-0.013035,0.027885,0.026274,-0.023456,132.81
05/29/1981,0.013546,0.007402,0.027187,0.024537,-0.001657,132.59
06/30/1981,-0.010243,-0.013356,-0.013194,-0.015935,-0.010408,131.21
07/31/1981,-0.003079,-0.004806,-0.019980,-0.021480,-0.002210,130.92
08/31/1981,-0.056281,-0.063014,-0.071906,-0.074583,-0.062099,122.79
09/30/1981,-0.063776,-0.066716,-0.090061,-0.092452,-0.053832,116.18
10/30/1981,0.060162,0.057005,0.069728,0.067826,0.049148,121.89
11/30/1981,0.045848,0.039226,0.021667,0.018990,0.036590,126.35
12/31/1981,-0.028096,-0.031104,-0.019694,-0.022599,-0.030075,122.55
01/29/1982,-0.026209,-0.027912,-0.017347,-0.018707,-0.017544,120.40
02/26/1982,-0.051126,-0.058640,-0.047987,-0.050666,-0.060548,113.11
03/31/1982,-0.010101,-0.014055,-0.012064,-0.014831,-0.010167,111.96
04/30/1982,0.043269,0.041424,0.052242,0.050618,0.040014,116.44
05/28/1982,-0.028213,-0.036597,-0.022490,-0.025378,-0.039162,111.88
06/30/1982,-0.023913,-0.027380,-0.036699,-0.039372,-0.020290,109.61
07/30/1982,-0.020525,-0.022743,-0.014776,-0.016392,-0.022991,107.09
08/31/1982,0.119016,0.109934,0.063285,0.060209,0.115977,119.51
09/30/1982,0.016766,0.013675,0.033164,0.030746,0.007614,120.42
10/29/1982,0.118632,0.115926,0.128447,0.126794,0.110364,133.71
11/30/1982,0.051941,0.044997,0.092037,0.089606,0.036123,138.54
12/31/1982,0.014510,0.012023,0.023447,0.021241,0.015158,140.64
01/31/1983,0.041844,0.039755,0.117062,0.115787,0.033134,145.30
02/28/1983,0.030215,0.024204,0.047266,0.045091,0.018995,148.06
03/31/1983,0.034678,0.031620,0.050514,0.048487,0.033095,152.96
04/29/1983,0.074185,0.072839,0.080687,0.079603,0.074922,164.42
05/31/1983,0.013225,0.007961,0.091741,0.089694,-0.012346,162.39
06/30/1983,0.037837,0.034865,0.046341,0.044706,0.035224,168.11
07/29/1983,-0.031570,-0.032865,-0.017556,-0.018496,-0.033014,162.56
08/31/1983,0.003465,-0.001801,-0.032920,-0.034840,0.011319,164.40
09/30/1983,0.016027,0.013102,0.000030,-0.001534,0.010158,166.07
10/31/1983,-0.028078,-0.029779,-0.059292,-0.060352,-0.015174,163.55
11/30/1983,0.029556,0.024206,0.031713,0.029905,0.017426,166.40
12/30/1983,-0.010464,-0.013442,-0.019672,-0.021479,-0.008834,164.93
01/31/1984,-0.013025,-0.014875,0.005424,0.004216,-0.009216,163.41
02/29/1984,-0.039073,-0.043938,-0.050767,-0.052395,-0.038859,157.06
03/30/1984,0.013390,0.010025,0.007449,0.005664,0.013498,159.18
04/30/1984,0.002538,0.000800,-0.020521,-0.021805,0.005466,160.05
05/31/1984,-0.052320,-0.057705,-0.051536,-0.053325,-0.059356,150.55
06/29/1984,0.023384,0.019501,0.011996,0.010194,0.017469,153.18
07/31/1984,-0.020623,-0.022544,-0.050303,-0.051347,-0.016451,150.66
08/31/1984,0.112691,0.106814,0.088817,0.086881,0.106332,166.68
09/28/1984,0.000403,-0.002539,-0.000377,-0.001888,-0.003480,166.10
10/31/1984,-0.000073,-0.002921,-0.023756,-0.025013,-0.000060,166.09
11/30/1984,-0.010685,-0.015257,-0.031506,-0.033305,-0.015112,163.58
12/31/1984,0.023653,0.020092,0.002732,0.000718,0.022374,167.24
01/31/1985,0.085719,0.083508,0.121475,0.120225,0.074085,179.63
02/28/1985,0.016898,0.012269,0.046034,0.044495,0.008685,181.19
03/29/1985,-0.001747,-0.004924,-0.003581,-0.005178,-0.002925,180.66
04/30/1985,-0.002187,-0.003958,-0.009652,-0.010759,-0.004594,179.83
05/31/1985,0.055774,0.050799,0.022221,0.020490,0.054051,189.55
06/28/1985,0.017091,0.014038,0.002103,0.000572,0.012134,191.85
07/31/1985,-0.000251,-0.002220,0.021382,0.020386,-0.004848,190.92
08/30/1985,-0.004794,-0.009592,-0.002214,-0.003861,-0.011995,188.63
09/30/1985,-0.039826,-0.042577,-0.056859,-0.058192,-0.034724,182.08
10/31/1985,0.044441,0.042023,0.017652,0.016563,0.042509,189.82
11/29/1985,0.069228,0.064699,0.052563,0.050965,0.065062,202.17
12/31/1985,0.043061,0.040080,0.028021,0.026355,0.045061,211.28
01/31/1986,0.009830,0.008007,0.044071,0.043082,0.002367,211.78
02/28/1986,0.072501,0.068191,0.060381,0.058938,0.071489,226.92
03/31/1986,0.053887,0.051362,0.047192,0.045679,0.052794,238.90
04/30/1986,-0.007903,-0.009634,0.016140,0.015141,-0.014148,235.52
05/30/1986,0.050847,0.047126,0.036194,0.034779,0.050229,247.35
06/30/1986,0.014244,0.011622,0.008087,0.006715,0.014110,250.84
07/31/1986,-0.059700,-0.061454,-0.073128,-0.073917,-0.058683,236.12
08/29/1986,0.066183,0.062430,0.023269,0.021890,0.071193,252.93
09/30/1986,-0.079020,-0.081272,-0.059071,-0.060184,-0.085439,231.32
10/31/1986,0.049305,0.046860,0.023777,0.022803,0.054729,243.98
11/28/1986,0.015093,0.010874,-0.006263,-0.007526,0.021477,249.22
12/31/1986,-0.026387,-0.029056,-0.034609,-0.036117,-0.028288,242.17
01/30/1987,0.128499,0.126927,0.117565,0.116677,0.131767,274.08
02/27/1987,0.047922,0.044495,0.074612,0.073463,0.036924,284.20
03/31/1987,0.023664,0.021218,0.036283,0.034866,0.026390,291.70
04/30/1987,-0.016996,-0.018893,-0.017707,-0.018655,-0.011450,288.36
05/29/1987,0.005123,0.001872,0.000599,-0.000578,0.006034,290.10
06/30/1987,0.043655,0.041143,0.021487,0.020043,0.047915,304.00
07/31/1987,0.044247,0.042348,0.035123,0.034123,0.048224,318.66
08/31/1987,0.037147,0.033860,0.014544,0.013289,0.034959,329.80
09/30/1987,-0.020773,-0.022845,-0.015876,-0.017255,-0.024166,321.83
10/30/1987,-0.225361,-0.227342,-0.272248,-0.273085,-0.217630,251.79
11/30/1987,-0.072272,-0.076512,-0.050850,-0.052572,-0.085349,230.30
12/31/1987,0.070324,0.067212,0.026065,0.023874,0.072861,247.08
01/29/1988,0.044875,0.043042,0.077392,0.076284,0.040432,257.07
02/29/1988,0.051691,0.045995,0.060265,0.058643,0.041817,267.82
03/31/1988,-0.016598,-0.019273,0.035690,0.033940,-0.033343,258.89
04/29/1988,0.010993,0.009190,0.014016,0.012963,0.009425,261.33
05/31/1988,0.000447,-0.003859,-0.017671,-0.019257,0.003176,262.16
06/30/1988,0.051457,0.048743,0.047668,0.045806,0.043256,273.50
07/29/1988,-0.007272,-0.009941,0.000297,-0.001009,-0.005411,272.02
08/31/1988,-0.028006,-0.032443,-0.025001,-0.026812,-0.038600,261.52
09/30/1988,0.037204,0.034604,0.016951,0.015399,0.039729,271.91
10/31/1988,0.017645,0.014482,-0.011481,-0.012764,0.025964,278.97
11/30/1988,-0.016411,-0.021130,-0.036484,-0.038253,-0.018891,273.70
12/30/1988,0.021071,0.017627,0.018872,0.016666,0.014688,277.72
01/31/1989,0.066101,0.063305,0.062124,0.060823,0.071115,297.47
02/28/1989,-0.016442,-0.020172,0.002988,0.001480,-0.028944,288.86
03/31/1989,0.021465,0.018641,0.018060,0.016097,0.020806,294.87
04/28/1989,0.048207,0.046272,0.029089,0.027943,0.050090,309.64
